RM_MS0_R,RM_MS0_M,RM_BSK21_R,RM_BSK21_M,RM_ENG_R,RM_ENG_M,RM_APR_R,RM_APR_M,RM_WFF1_R,RM_WFF1_M,MI_MS0_M,MI_MS0_I,MI_BSK21_M,MI_BSK21_I,MI_ENG_M,MI_ENG_I,MI_APR_M,MI_APR_I,MI_WFF1_M,MI_WFF1_I
1e-05,1.6336330091018957e-32,1e-05,1.6329755762235185e-27,1e-05,1.6336330091018957e-32,0.0014682048767065822,8.769977841515056e-26,1e-05,1.6336330091018957e-32,0.21703224633091614,0.14265124740205873,0.21069870035536575,0.10276242662052547,0.20484723828049453,0.09746577130470939,0.20319392087373916,0.08889547544107719,0.20270598030856268,0.07796055084512157
200.0,1.3269423682948733e-10,200.0,1.3195574442417816e-05,200.0,1.3267570447290544e-10,200.0,2.2539699887752433e-10,200.0,1.3262851280920288e-10,0.24099074129458495,0.16571818627199925,0.22492704777298292,0.11251002396688728,0.21600417093790705,0.1040836795255528,0.21408728126955434,0.09535207654511922,0.2131404461120854,0.08261775873686229
200.0,1.3523809041528226e-10,200.0,1.3340309541930041e-05,200.0,1.3520450914589922e-10,200.0,2.2917801069363722e-10,200.0,1.3511913260396064e-10,0.2678488982738267,0.1933073408546059,0.2401143743680263,0.1232706535255213,0.2288037824500355,0.11193145674541685,0.22554227874943192,0.10230419143096237,0.22437615180799883,0.08781409384132244
200.0,1.3727823443383947e-10,200.0,1.3486640522368344e-05,200.0,1.3722848180621577e-10,200.0,2.330224484806927e-10,200.0,1.3710218132133988e-10,0.29785486971887504,0.22615389091274404,0.256305971153193,0.1351280447710725,0.24299331909131822,0.1209386104991421,0.23757962328116017,0.10978130958359235,0.23644291833793288,0.09358961612463416
200.0,1.3972232103347747e-10,200.0,1.3634570553833038e-05,200.0,1.3965489361688075e-10,200.0,2.369313761981386e-10,200.0,1.394837590330791e-10,0.32518068188067806,0.25782304614820384,0.2735480030208492,0.14817191292796442,0.25828225817128236,0.13098917901727627,0.2502195861292343,0.11781362971961977,0.24939694040645152,0.09999933396310338
200.0,1.4220684256550465e-10,200.0,1.3784128712803249e-05,200.0,1.4212116510638092e-10,200.0,2.409058756530896e-10,200.0,1.4190375518155624e-10,0.34436070648239936,0.28095196245337783,0.2918878116183208,0.16249876838578345,0.2747171724227552,0.14217235578074328,0.26348268249035034,0.12643288606152409,0.2632949990470527,0.10710284956066922
200.0,1.4473268095919178e-10,200.0,1.3935319833929636e-05,200.0,1.4462816019736182e-10,200.0,2.4494704679971623e-10,200.0,1.4436298907455492e-10,0.36397682789669783,0.3052728570146092,0.3113732894173217,0.1782113200907312,0.29234627004933933,0.15458419769919723,0.27738967096627337,0.1356724122772958,0.2781264594967987,0.11492709590874121
200.0,1.473007205308465e-10,200.0,1.4088167412657425e-05,200.0,1.4717674504473078e-10,200.0,2.490560080436536e-10,200.0,1.4686228187057344e-10,0.3840602101179383,0.33080935330361644,0.33205264749675256,0.19541862621267903,0.31121871868949935,0.1683271595831159,0.29196130426113387,0.1455668991001874,0.29392487959063157,0.12352398020359276
200.0,1.4991184962651456e-10,200.0,1.4242699950172064e-05,200.0,1.4976778968810958e-10,200.0,2.5323389655152127e-10,200.0,1.4940245826311378e-10,0.40463630284868474,0.35758754781484603,0.35397398485859377,0.2142357639302565,0.3313834172039058,0.18350938502640585,0.30721800183198333,0.15615203049957677,0.3106821302867306,0.13292378190021822
200.0,1.525669615177286e-10,200.0,1.4398919519266544e-05,200.0,1.5240216891772488e-10,200.0,2.574818685656307e-10,200.0,1.5198434727404704e-10,0.4257280198574684,0.38563647895908865,0.3771856388125372,0.2347847518219078,0.3528896094286497,0.2002458636872806,0.3231804079827434,0.16746525087421582,0.3284127380147225,0.1431697665980695
200.0,1.5526695528883266e-10,200.0,1.4556860049120134e-05,200.0,1.5508076312457315e-10,200.0,2.6180109972397526e-10,200.0,1.546087830348175e-10,0.4473557279474288,0.41498578249220125,0.4017338353235531,0.25719141830368747,0.37578573146184013,0.21865734496569733,0.33986865529803456,0.17954489471105928,0.3471817030150596,0.15433747388954444
200.0,1.5801273615382595e-10,200.0,1.4716522104053236e-05,200.0,1.5780445865959585e-10,200.0,2.661927853855853e-10,200.0,1.572766051514536e-10,0.46953817922857544,0.44566624209779404,0.42766481379400034,0.28158885807022976,0.40011968647578766,0.2388711886169446,0.35730184462316733,0.19242945294412936,0.36701299217322925,0.1664813755358673
200.0,1.6080521806518734e-10,200.0,1.4877945625174629e-05,200.0,1.6057415021944641e-10,200.0,2.7065814096134337e-10,200.0,1.5998866071666596e-10,0.49229252661743633,0.4777088589416268,0.4550222526593535,0.308113750424323,0.425937398893858,0.2610195289326145,0.3754995381519759,0.2061598411569421,0.3882719296313628,0.17987792140822348
200.0,1.636453222572921e-10,200.0,1.5041135624186708e-05,200.0,1.6339073964515152e-10,200.0,2.7519840225034253e-10,200.0,1.6274580359305282e-10,0.5156346068667509,0.5111449631845381,0.48303347135363905,0.3360814199294283,0.4524941555970291,0.28452956488617126,0.3944796291612526,0.2207762850420248,0.41102282443175275,0.19463613749583336
200.0,1.66533979013777e-10,200.0,1.5206105205108393e-05,200.0,1.6625513747100825e-10,200.0,2.7981482578189824e-10,200.0,1.655488954755436e-10,0.5395790412543241,0.5460059890951313,0.5112594608994885,0.36505233781238433,0.4799304568914978,0.30955753691507987,0.4142593870543389,0.23631995733174027,0.4350333326468374,0.21067140690054148
200.0,1.6947212830512017e-10,200.0,1.53728976641933e-05,200.0,1.69168263600686e-10,200.0,2.8450868916328834e-10,200.0,1.683988066590893e-10,0.5641389411925439,0.5823223881692982,0.5406860695364746,0.3960591037832139,0.5087262248402306,0.3366006338234053,0.43524472652615626,0.2531484282983631,0.4603241970346925,0.2280567298197307
200.0,1.724607204207687e-10,200.0,1.5541514318262017e-05,200.0,1.7213104791880058e-10,200.0,2.8928129143332426e-10,200.0,1.7129641660027245e-10,0.5894482572886269,0.6203088257779341,0.5713358273928878,0.4291934161196767,0.5389077979912645,0.3657668651386004,0.45779137191049574,0.2716117272760183,0.4877810743591185,0.24749013412436383
200.0,1.7550071658922767e-10,200.0,1.571198511273593e-05,200.0,1.7514443089148053e-10,200.0,2.941339534218647e-10,200.0,1.7424261447011885e-10,0.6158449081998703,0.6605094742994917,0.6032272521260427,0.46454663200522817,0.5704976666757758,0.3971645903468416,0.4813573917976008,0.2913292945095982,0.5174251238855897,0.26911753198525173
200.0,1.7859308938563496e-10,200.0,1.5884315010008545e-05,200.0,1.7820936398180078e-10,200.0,2.9906801811534875e-10,200.0,1.7723829960350367e-10,0.6429644093716139,0.7024086714790289,0.6363748089220339,0.5022086268324778,0.6035143599626092,0.43090267794300924,0.5059587628017228,0.31236204799685546,0.5486815891873208,0.2926360362439784
200.0,1.8173882395734633e-10,200.0,1.6058535334062325e-05,200.0,1.8132681073926387e-10,200.0,3.040848510284628e-10,200.0,1.8028438218936827e-10,0.6708140592990888,0.7460414387366031,0.6707884031451757,0.5422661867642087,0.637970976499119,0.467087089155403,0.5316081400599729,0.33476825915108066,0.581560549249362,0.31815018518806953
200.0,1.8493891791642888e-10,200.0,1.623467280540357e-05,200.0,1.8449774687931133e-10,200.0,3.091858405820505e-10,200.0,1.833817839230361e-10,0.6994010220790807,0.7914429750095294,0.7064736838651132,0.5848033026609635,0.6738751120478191,0.5058205486346933,0.5583162059964415,0.3586055423704042,0.6157424471809698,0.34549842675678494
200.0,1.8819438206252075e-10,200.0,1.6412738674125994e-05,200.0,1.8772316082647533e-10,200.0,3.1437239848735033e-10,200.0,1.8653143801889052e-10,0.7287304750691881,0.838644920010042,0.7434297781108202,0.6298958269710965,0.7112281586750908,0.5472008099983215,0.5860901487193467,0.3839288390943448,0.651216347073763,0.3747427542830818
