I_1e14G,time,I_5e13G,II_1e14G,II_5e13G,III_1e14G,III_5e13G
18.753210438017312,1.1574074074074074e-08,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312
42.554835005361525,0.4204204319829088,41.95841816688939,42.05858153228432,41.43907788386136,42.05907687976513,41.43785850102828
43.13094894061931,0.8408408523917437,42.56079603363307,42.45650483406558,41.82984352397416,42.5023020703134,41.87509276368373
43.44947045441893,1.2612612728005783,42.910822936365726,42.67472291898193,42.04478200503869,42.753875083737604,42.12509563547975
43.663276810371656,1.681681693209413,43.15673476910873,42.82374905717579,42.19233429300998,42.92877040412066,42.30047432040793
43.82071884737569,2.1021021136182476,43.34523622591158,42.9362168548986,42.30432640531931,43.06217219008749,42.435494964368296
43.94330468063355,2.5225225340270825,43.497252634126006,43.02614147333339,42.394385873918466,43.16955527810346,42.54518738626147
44.042418063073455,2.9429429544359174,43.62401034642453,43.10080593249107,42.46958435621354,43.259104346472526,42.63749083318766
44.124773853874075,3.363363374844752,43.73224591006278,43.16447023292807,42.53405626404641,43.335673354446165,42.717111949500534
44.19464127208552,3.7837837952535867,43.82632467884523,43.21983717663328,42.59042502113763,43.402376605362385,42.78707117250907
44.254889082488965,4.204204215662421,43.90923891592562,43.2687267723561,42.64045808094351,43.46133078778835,42.849422683633556
44.307529139408466,4.624624636071256,43.983129595264266,43.31242171644553,42.68540206747841,43.51403946163373,42.90562699856524
44.35402127405662,5.045045056480091,44.04958133394492,43.35185920193622,42.726168698110136,43.56160861921141,42.95675969022933
44.39545472352142,5.465465476888926,44.10979954998228,43.38774430633437,42.76344463929662,43.604875200739144,43.003635764093204
44.432661356443056,5.885885897297761,44.16472220374156,43.42062048302533,42.797759788895306,43.64448759345419,43.046887543463065
44.46628916103167,6.306306317706595,44.21509316255068,43.450915239286076,42.82953151896444,43.680958141445934,43.08701546991966
44.496851540570404,6.72672673811543,44.26151201207513,43.47897077838107,42.859094361405425,43.71469858492248,43.12442239172937
44.524761321964576,7.147147158524265,44.30446885383908,43.50506517160026,42.88672052161673,43.74604467767202,43.15943738646079
44.55035479673318,7.5675675789331,44.34436921619699,43.52942736094298,42.91263442173723,43.77527371911127,43.19233273223203
44.573909077988496,7.987987999341935,44.381552271099,43.55224803025097,42.937023241611584,43.80261731406368,43.223336264212726
44.59565486975615,8.408408419750769,44.416304407647914,43.57368763414842,42.960044708232275,43.82827083658824,43.252640543677245
