I_1ms,time,I_10ms,II_1ms,II_10ms,III_1ms,III_10ms,Ni decay,eta_I_1ms,eta_I_10ms,eta_II_1ms,eta_II_10ms,eta_III_1ms,eta_III_10ms,R_ej_I_1ms,R_ej_I_10ms,R_ej_II_1ms,R_ej_II_10ms,R_ej_III_1ms,R_ej_III_10ms
18.753210438017312,1.1574074074074074e-08,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,1.0,1.0,1.0,1.0,1.0,1.0,5.651777040483644,5.651777040483644,5.651777040483644,5.651777040483644,5.651777040483644,5.651777040483644
42.554835005361525,0.4204204319829088,38.555659747311104,42.05858153228432,38.55554437749745,42.05907687976513,38.55565804784511,38.4636544706761,1.0,1.0,1.0,1.0,1.0,1.0,13.3426710606864,13.211993591953018,13.302367714623344,13.211993590269834,13.298122191140006,13.211993591928216
43.13094894061931,0.8408408523917437,39.15668319027015,42.45650483406558,39.15645301032277,42.5023020703134,39.15667980128194,39.05433112664671,1.0,1.0,1.0,1.0,1.0,1.0,13.716758076532011,13.513042544706906,13.639136153493638,13.513042537991431,13.635208035780751,13.513042544607972
43.44947045441893,1.2612612728005783,39.50781452497204,42.67472291898193,39.50747008831039,42.7538750837376,39.50780945629592,39.39521517506796,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,13.941986306610309,13.68915273277373,13.837054859331058,13.689152717702736,13.834581759931112,13.689152732551738
43.663276810371656,1.681681693209413,39.75662614538059,42.82374905717579,39.75616799922732,42.92877040412066,39.7566194067427,39.63387933003411,1.0,1.0,1.0,1.0,1.0,1.0,14.103140019123206,13.814110367070777,13.977442384871,13.814110340346852,13.976686028293509,13.814110366677207
43.82071884737569,2.1021021136182476,39.94936562033909,42.9362168548986,39.94879430578463,43.06217219008749,39.9493572213586,39.81657145335301,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,14.228267821151988,13.911039245594088,14.086171425795913,13.91103920394563,14.087150947721438,13.911039244980842
43.94330468063355,2.5225225340270825,40.106632835800035,43.02614147333339,40.105948887865935,43.16955527810346,40.106622785990375,39.96389169691418,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,14.330280737295848,13.9902393245323,14.174845180945647,13.990239264713455,14.177501010215703,13.990239323651668
44.042418063073455,2.942942954435918,40.239416386470886,43.10080593249107,40.238620334177234,43.259104346472526,40.23940469524102,40.086828893039275,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,14.416214263095254,14.057204914092909,14.249674799974713,14.05720483288355,14.253922245860402,14.05720491289759
44.124773853874075,3.363363374844752,40.35427547432658,43.16447023292807,40.35336784074423,43.335673354446165,40.35426215098212,40.19194245354487,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,14.490328462652144,14.115215627748208,14.314374567868718,14.115215521953882,14.320123665411232,14.115215626191317
44.19464127208552,3.783783795253586,40.455440910801855,43.21983717663328,40.45442221312791,43.402376605362385,40.455425964546414,40.28346337068444,1.0,1.0,1.0,1.0,1.0,1.0,14.555398103922204,14.166386883349457,14.371342417525533,14.16638674980135,14.378505650050563,14.166386881384492
44.254889082488965,4.204204215662421,40.54580145713686,43.2687267723561,40.544672206751216,43.46133078778835,40.545784897073155,40.36428055775756,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,14.613330450085355,14.212163073279854,14.42221618572572,14.212162908834763,14.430711390957557,14.212163070860734
44.307529139408466,4.624624636071256,40.62741754298225,43.31242171644553,40.62617824548911,43.51403946163373,40.62739937811274,40.436454567075856,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,14.665492000062743,14.253574423769953,14.468164051267852,14.253574225310214,14.477915298836166,14.253574420850985
44.35402127405662,5.045045056480091,40.70181050801321,43.35185920193622,40.700461663332405,43.56160861921141,40.7017907472425,40.50150683142669,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,14.712894681170312,14.2913816157042,14.510048339670714,14.291381380137684,14.520985936897924,14.291381612240093
44.39545472352142,5.465465476888926,40.77013566964894,43.38774430633437,40.76867777207156,43.604875200739144,40.77011432178371,40.56059273155488,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,14.756308323231927,14.326162318475482,14.54852364889687,14.326162042735548,14.560583783164992,14.326162314421351
44.432661356443056,5.885885897297761,40.833291070261794,43.42062048302533,40.83172460845754,43.64448759345419,40.833268144012585,40.614610343142154,1.0,1.0,1.0,1.0,1.0,1.0,14.796331869289157,14.358365563583227,14.584098554161889,14.35836524462862,14.597222802675637,14.35836555889458
44.46628916103167,6.306306317706595,40.89198861520633,43.45091523928608,40.890314072368504,43.680958141445934,40.891964119187946,40.66427157477047,1.0,1.0,1.0,1.0,1.0,1.0,14.83344024139029,14.388347313680685,14.617175992454747,14.38834694849559,14.631310805381943,14.388347308313422
44.4968515405704,6.72672673811543,40.94680220526085,43.47897077838107,40.9450200590878,43.71469858492248,40.94677614799458,40.7101503001488,1.0,1.0,1.0,1.0,1.0,1.0,14.868016203666226,14.416394528746237,14.648080594521518,14.416394114340166,14.663176798784018,14.41639452265667
