II_epsilon_1e-3,time,II_epsilon_5e-4,II_epsilon_1e-4,III_alpha_0.1,III_alpha_0.05,III_alpha_0.01,I
18.753210438017312,1.1574074074074074e-08,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312
42.05858153228432,0.4204204319829088,42.362641576602165,42.54496098561991,42.05907687976513,42.3322124823197,42.54129222860526,42.554835005361525
42.45650483406558,0.8408408523917437,42.83961525705481,43.11411708768396,42.5023020703134,42.82056129842417,43.10906737456258,43.13094894061931
42.67472291898193,1.2612612728005783,43.09700498557054,43.42766552702312,42.753875083737604,43.09190036983292,43.42230185552898,43.44947045441893
42.82374905717579,1.681681693209413,43.26965116212548,43.63782393161435,42.92877040412066,43.277467241717545,43.63265143205898,43.663276810371656
42.9362168548986,2.1021021136182476,43.39785089970915,43.79252755922118,43.06217219008749,43.417117651307144,43.78778457520048,43.82071884737569
43.02614147333339,2.5225225340270825,43.498897673324656,43.91301852559709,43.16955527810346,43.52824302401447,43.90881052373317,43.94330468063355
43.10080593249107,2.9429429544359174,43.58173652877782,44.010504953511756,43.259104346472526,43.61997612603638,44.00686898538143,44.042418063073455
43.16447023292807,3.363363374844752,43.651568200652996,44.09158211828801,43.335673354446165,43.697698307721225,44.08851950316023,44.124773853874075
43.21983717663328,3.7837837952535867,43.71167105119583,44.160435537899446,43.402376605362385,43.76484194497205,44.15792911103331,44.19464127208552
43.2687267723561,4.204204215662421,43.76423829197182,44.21987395660202,43.46133078778835,43.8237272327051,44.217897435318704,44.254889082488965
43.31242171644553,4.624624636071256,43.81080577383926,44.27186527026476,43.51403946163373,43.87599392309486,44.27038842966502,44.307529139408466
43.35185920193622,5.045045056480091,43.852488717466294,44.31783651365537,43.56160861921141,43.9228424206208,44.31682806009964,44.35402127405662
43.38774430633437,5.465465476888926,43.89012114361033,44.358852054245745,43.604875200739144,43.96517698801373,44.35828120436084,44.39545472352142
43.42062048302533,5.885885897297761,43.92434222109451,44.39572462755537,43.64448759345419,44.00369513140044,44.39556194562793,44.432661356443056
43.450915239286076,6.306306317706595,43.955651999945935,44.4290873131815,43.680958141445934,44.03894571776417,44.42930512019517,44.46628916103167
43.47897077838107,6.72672673811543,43.984448651067325,44.459441762909165,43.71469858492248,44.07136807172697,44.46001429697311,44.496851540570404
43.50506517160026,7.147147158524265,44.011054096367246,44.48719144572142,43.74604467767202,44.10131905537492,44.48809488096402,44.524761321964576
43.52942736094298,7.5675675789331,44.03573210072653,44.512665131382576,43.77527371911127,44.12909229707474,44.51387751664327,44.55035479673318
43.55224803025097,7.987987999341935,44.058701331688916,44.5361338358856,43.80261731406368,44.154932146899654,44.53763499191805,44.573909077988496
