I_1ms,time,I_10ms,II_1ms,II_10ms,III_1ms,III_10ms
1.0,1.1574074074074074e-08,9.999999999999998,1.0,9.999999999999998,1.0,9.999999999999998
1.0000000000059883,1.1603259852160984e-08,10.000000000000599,1.000000000073402,10.000000000000664,1.0000000001053428,10.000000000000599
1.000000000011991,1.163251922660102e-08,10.000000000001199,1.0000000001469842,10.000000000001332,1.0000000002109442,10.000000000001199
1.0000000000180087,1.1661852382978492e-08,10.0000000000018,1.0000000002207468,10.000000000002002,1.0000000003168044,10.000000000001803
1.000000000024041,1.169125950734574e-08,10.000000000002402,1.0000000002946903,10.000000000002673,1.000000000422924,10.000000000002407
1.0000000000300882,1.172074078622421e-08,10.000000000003006,1.000000000368815,10.000000000003347,1.000000000529304,10.000000000003011
1.0000000000361502,1.1750296406605728e-08,10.000000000003613,1.0000000004431215,10.00000000000402,1.0000000006359446,10.00000000000362
1.0000000000422269,1.1779926555953653e-08,10.00000000000422,1.0000000005176104,10.000000000004697,1.000000000742847,10.000000000004228
1.0000000000483187,1.1809631422204012e-08,10.00000000000483,1.0000000005922818,10.000000000005375,1.0000000008500114,10.000000000004839
1.0000000000544254,1.1839411193766805e-08,10.000000000005441,1.0000000006671363,10.000000000006054,1.0000000009574386,10.00000000000545
1.000000000060547,1.1869266059527079e-08,10.000000000006054,1.0000000007421743,10.000000000006734,1.000000001065129,10.000000000006064
1.0000000000666838,1.189919620884622e-08,10.000000000006667,1.0000000008173966,10.000000000007418,1.000000001173084,10.000000000006677
1.0000000000728353,1.1929201831563118e-08,10.000000000007281,1.000000000892803,10.000000000008102,1.0000000012813033,10.000000000007294
1.0000000000790021,1.1959283117995338e-08,10.0000000000079,1.0000000009683945,10.000000000008788,1.0000000013897883,10.000000000007912
1.000000000085184,1.198944025894039e-08,10.000000000008516,1.0000000010441714,10.000000000009475,1.000000001498539,10.00000000000853
1.0000000000913811,1.2019673445676911e-08,10.000000000009136,1.000000001120134,10.000000000010164,1.0000000016075565,10.000000000009152
1.0000000000975933,1.2049982869965843e-08,10.000000000009758,1.0000000011962829,10.000000000010855,1.0000000017168413,10.000000000009774
1.0000000001038207,1.2080368724051727e-08,10.000000000010381,1.0000000012726185,10.000000000011548,1.0000000018263941,10.000000000010397
1.0000000001100635,1.2110831200663827e-08,10.000000000011005,1.0000000013491412,10.000000000012243,1.0000000019362156,10.000000000011024
1.0000000001163216,1.2141370493017446e-08,10.00000000001163,1.0000000014258517,10.000000000012939,1.0000000020463065,10.00000000001165
1.000000000122595,1.2171986794815103e-08,10.000000000012257,1.0000000015027504,10.000000000013639,1.000000002156667,10.00000000001228
1.0000000001288838,1.2202680300247733e-08,10.000000000012887,1.0000000015798374,10.000000000014339,1.0000000022672983,10.000000000012909
1.000000000135188,1.2233451203996e-08,10.000000000013516,1.0000000016571136,10.000000000015039,1.000000002378201,10.000000000013541
1.0000000001415077,1.2264299701231443e-08,10.000000000014149,1.0000000017345791,10.000000000015742,1.0000000024893756,10.000000000014174
1.000000000147843,1.2295225987617777e-08,10.000000000014783,1.0000000018122348,10.000000000016446,1.000000002600823,10.000000000014808
1.0000000001541938,1.2326230259312128e-08,10.000000000015419,1.000000001890081,10.000000000017154,1.000000002712543,10.000000000015444
1.00000000016056,1.235731271296622e-08,10.000000000016053,1.000000001968118,10.000000000017861,1.0000000028245377,10.000000000016081
1.0000000001669418,1.2388473545727709e-08,10.000000000016692,1.0000000020463462,10.000000000018572,1.0000000029368068,10.00000000001672
1.0000000001733393,1.2419712955241344e-08,10.000000000017332,1.0000000021247661,10.000000000019284,1.000000003049351,10.000000000017362
1.0000000001797527,1.24510311396503e-08,10.000000000017973,1.0000000022033786,10.000000000019998,1.0000000031621714,10.000000000018003
1.0000000001861817,1.2482428297597404e-08,10.000000000018618,1.0000000022821838,10.000000000020712,1.0000000032752685,10.000000000018648
1.0000000001926264,1.2513904628226345e-08,10.000000000019261,1.0000000023611824,10.00000000002143,1.0000000033886427,10.000000000019295
1.000000000199087,1.2545460331183043e-08,10.000000000019908,1.0000000024403743,10.000000000022148,1.0000000035022951,10.00000000001994
1.0000000002055631,1.25770956066168e-08,10.000000000020556,1.0000000025197608,10.000000000022869,1.0000000036162262,10.00000000002059
1.0000000002120555,1.260881065518166e-08,10.000000000021204,1.0000000025993416,10.000000000023592,1.0000000037304364,10.00000000002124
1.0000000002185636,1.2640605678037652e-08,10.000000000021855,1.000000002679118,10.000000000024315,1.000000003844927,10.00000000002189
1.0000000002250877,1.2672480876852018e-08,10.000000000022508,1.0000000027590896,10.000000000025041,1.0000000039596981,10.000000000022546
1.0000000002316278,1.270443645380059e-08,10.00000000002316,1.0000000028392575,10.000000000025768,1.0000000040747508,10.000000000023201
1.0000000002381841,1.273647261156896e-08,10.000000000023817,1.000000002919622,10.0000000000265,1.0000000041900856,10.000000000023858
1.0000000002447562,1.2768589553353869e-08,10.000000000024475,1.0000000030001837,10.00000000002723,1.0000000043057031,10.000000000024514
1.0000000002513447,1.2800787482864439e-08,10.000000000025134,1.0000000030809426,10.000000000027963,1.0000000044216042,10.000000000025175
1.0000000002579492,1.2833066604323446e-08,10.000000000025793,1.0000000031618999,10.000000000028697,1.0000000045377895,10.000000000025837
1.00000000026457,1.2865427122468674e-08,10.000000000026455,1.0000000032430554,10.000000000029434,1.0000000046542596,10.0000000000265
1.0000000002712068,1.2897869242554193e-08,10.00000000002712,1.0000000033244099,10.000000000030171,1.0000000047710156,10.000000000027166
