I_MS0,time,I_BSK21,I_ENG,I_APR,I_WFF1,II_MS0,II_BSK21,II_ENG,II_APR,II_WFF1,III_MS0,III_BSK21,III_ENG,III_APR,III_WFF1
18.753210438017312,1.1574074074074074e-08,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312,18.753210438017312
43.56707320419513,0.4204204319829088,43.16758790141447,43.0535285373708,42.89778989445107,42.66756264839845,42.986967453348505,42.57949281864908,42.47355978675664,42.33519196511962,42.12807702647754,42.79413622739199,42.48385756774867,42.402137249688046,42.29329187222023,42.133974482451926
44.0086810853931,0.8408408523917437,43.69142194274628,43.59367377306229,43.45514011468815,43.24445846870592,43.35163534284645,42.96435268975039,42.861409349775016,42.726164240673256,42.52177859748916,43.20578389416962,42.914232113632416,42.83575642272825,42.730491796697216,42.57642855436257
44.2245744281495,1.2612612728005783,43.961416639153335,43.87644719771146,43.752861546004745,43.56159102313228,43.54613336240312,43.17374381450044,43.073183975063955,42.94036523411868,42.7381934171185,43.43226497510089,43.15619077077474,43.08046410467574,42.9781262811129,42.827863333344716
44.3594444672469,1.681681693209413,44.13445097223798,44.0593003362532,43.94781314891286,43.77345985543807,43.67595445152074,43.31556880856845,43.217038430987365,43.08630635093301,42.886171305724574,43.585216628875415,43.322505002248406,43.24925121970743,43.14957079156268,43.00268612317547
44.45421844347316,2.1021021136182476,44.257809354907295,44.1904023001041,44.0887724531351,43.928892482231205,43.77201158191166,43.42177289535593,43.325027218489765,43.196153856653225,42.99793004440826,43.69888343419843,43.447967963157645,43.37697441714606,43.27975536618779,43.13600660475347
44.525622802041006,2.5225225340270825,44.35159827901395,44.290467169588126,44.19700823061388,44.0495524310753,43.8474740743612,43.506074424158825,43.410931367403386,43.28374681405078,43.08732929778992,43.7882555037871,43.54791184114867,43.4790038267312,43.384084301946686,43.24328928844604
44.581949806187254,2.9429429544359174,44.426056402778684,44.370133162850514,44.283566998893996,44.146870816984794,43.90913073350476,43.57559353616397,43.481911381120625,43.35628216618086,43.161580014261105,43.86120370922731,43.630441994016635,43.563472026404334,43.470713155312,43.33272028262732
44.62784503584016,3.363363374844752,44.48702975935523,44.435514513860475,44.354855649595976,44.227570161977525,43.960921690985074,43.63448766702084,43.54215257051212,43.41797036854178,43.22490390187655,43.922356815724825,43.70035740786273,43.63519882046318,43.544479310871445,43.40915689041276
44.66614248962931,3.7837837952535867,44.53813469208895,44.490413089021345,44.41488769465431,44.29591255632893,44.0053281422725,43.68538920731537,43.5943075443387,43.471482401958696,43.27998138102679,43.97465811541367,43.760730018758395,43.697272620977245,43.60848533916414,43.47571654875763
44.69868349604639,4.204204215662421,44.58174554131665,44.53733538203847,44.466325395175524,44.354754635911604,44.04400889496628,43.73006692265945,43.64016028286495,43.5186162102044,43.32861842022264,44.020089657998426,43.813642079381495,43.751789031113944,43.664838551382424,43.53451847899548
44.72672403926258,4.624624636071256,44.619494856003165,44.5780105972518,44.51101479391228,44.406095111531094,44.078124991975116,43.76976462242914,43.68096638108147,43.5606383169936,43.37208841361987,44.0600462574992,43.860568317675444,43.800233796210186,43.7150345423789,43.58706819773451
44.75115465650698,5.045045056480091,44.65254734964214,44.6136758026763,44.550282205354634,44.451381253476555,44.10851913719291,43.805389047979865,43.717641925735684,43.5984735624126,43.4113221177899,44.095544356200996,43.902590130994355,43.843697541309204,43.76017233074373,43.634473185074505
44.77262702779759,5.465465476888926,44.6817594611922,44.64524271476919,44.58510866784121,44.49169090157014,44.135821294352844,43.837620839539355,43.7508751123226,43.63281728525712,43.447019995201735,44.12734600850258,43.940523200349894,43.88300377399089,43.80108265348484,43.677571507591296
44.79163073343045,5.885885897297761,44.707777034141124,44.673400169628685,44.61623768428929,44.527845828897426,44.16051405414345,43.866983450488455,43.781195602579,43.66420506817432,43.479722091486686,44.15603618043813,43.974997351659944,43.91878902928123,43.83840832712858,43.7170124038765
44.808541829691904,6.306306317706595,44.73109762518993,44.698679692604095,44.64424448508806,44.56048518434908,44.18297481063286,43.89388775340923,43.809019441981775,43.693057929742885,43.509853334038894,44.18207293198272,44.00650859066373,43.95155511724361,43.87265666404146,43.753308861847444
44.82365471845917,6.72672673811543,44.7521116555907,44.72149892123824,44.66958208045068,44.59011466894507,44.20350393862437,43.91866192725412,43.83467917173007,43.71971263584577,43.5377539311025,44.20582111279417,44.03545417710954,43.98170435967393,43.90423483726782,43.78687310752823
44.837203705025445,7.147147158524265,44.7711304041256,44.74219121320339,44.69261277867052,44.617140409101005,44.22234418175343,43.94157208298965,43.85844462008924,43.744442639369595,43.56370038207766,44.22757565183513,44.062156954034435,44.00956404608836,43.9334744411241,43.818041260607416
44.84937797528861,7.5675675789331,44.788405546366235,44.7610263557279,44.713630299438876,44.64189286228934,44.23969433913052,43.962836860665625,43.88053762411879,43.767472914408266,43.58792037148041,44.24757805611702,44.08688265046181,44.03540383496014,43.96064897418012,43.847090894053316
44.86033224119913,7.987987999341935,44.804143099399674,44.778225372920254,44.732875633234265,44.66464405326918,44.255719141486296,43.98263799353728,43.901142689148564,43.78899070220853,43.61060356128536,44.26602835506087,44.10985245297521,44.05944840555993,43.98598655835212,43.87425381550409
44.87019446445307,8.408408419750769,44.818513574085394,44.79397132290528,44.7505486347659,44.68562023706917,44.27055651992401,44.001128100367175,43.920414855069914,43.80915344530848,43.63190956665295,44.28309391372425,44.13125231536878,44.081886831802244,44.009679368008655,43.89972554697366
44.879071562102325,8.828828840159604,44.831659496657814,44.80841730937326,44.76681664425585,44.70501135819653,44.28432304737728,44.01843653378608,43.93848560308166,43.82809474779271,43.651973949391525,44.29891604508593,44.15123997109867,44.102879646634925,44.031890738777506,43.92367247633529
44.88705369001507,9.249249260568439,44.84370106900642,44.82169251804581,44.7818209992293,44.722978223747745,44.2971180759351,44.03467383891644,43.95546736051237,43.84592892334209,43.67091279233274,44.313615046747664,44.169950292712905,44.12256424493268,44.05276060939292,43.94623733435189
44.894217503180975,9.669669680977274,44.85474048952441,44.83390682952787,44.79568201873322,44.73965801626252,44.30902692634311,44.0499351970237,43.971456982025956,43.86275451103572,43.688826240362296,44.32729408956323,44.187499444375575,44.141059072550085,44.07240974187274,43.96754344544869
44.90062867561541,10.090090101386108,44.86486529341573,44.84515438999434,44.8085028676224,44.7551685829232,44.32012337780175,44.064303119570674,43.98653847393235,43.87865702839195,43.70580127301704,44.34004225667323,44.2039881402065,44.15846691354255,44.090943035973964,43.987698066805564
44.90634386408906,10.510510521794943,44.8741509657251,44.855516406070265,44.82037258759047,44.769611808892456,44.33047163368951,44.07784958124126,44.00078515225345,43.89371115269319,43.721913901590305,44.35193694411063,44.21950422628969,44.17487749874031,44.10845216011005,44.00679504275824
44.911412261367275,10.930930942203778,44.88266300581493,44.86506335550398,44.83136849737597,44.78307629966988,44.340127888447725,44.090637723197084,44.01426136655252,43.90798246452023,43.7372309285817,44.36304577866307,44.2341247499319,44.1903695962194,44.12501766200196,44.024916932890704
44.915876831400084,11.351351362612613,44.89045857735274,44.873856754759835,44.8415581136457,44.7956395310861,44.34914159132542,44.102723228845754,44.02702389282661,43.921528857024796,43.75181136828213,44.37342816125913,44.24791763175759,44.20501270176749,44.140710676140785,44.042136736802895
44.9197753078171,11.771771783021448,44.89758783513713,44.88195058185528,44.85100069994345,44.80736958958841,44.35755647099083,44.11415544214262,44.03912306641303,43.93440168254446,43.76570760542497,44.38313652209096,44.26094302989933,44.21886841897966,44.155594317774245,44.05851930179556
44.92314099937409,12.192192203430281,44.90409500421514,44.889392433972034,44.859748528425065,44.81832659094718,44.365411375726914,44.12497828712647,44.05060371358813,43.946646695954946,43.778966345977295,44.39221734756889,44.2732544596684,44.23199159277724,44.16972482958753,44.07412248314706
44.92600345193044,12.612612623839116,44.91001926143946,44.896224473923915,44.86784791226614,44.828563846501396,44.37274096585026,44.13523102574388,44.061505919819474,43.95830483293975,43.791629405225585,44.40071202878061,44.28489972108258,44.24443124874868,44.18315253232711,44.08899810435463
44.9283889925797,13.03303304424795,44.915395464311096,44.90248421255866,44.87534005916901,44.83812882670824,44.37957628843444,44.144948890108,44.071865670884335,43.969412859640364,43.803734363413724,44.40865756452871,44.29592167067684,44.25623137576735,44.195922616799585,44.1031927600766
44.930321179675374,13.453453464656786,44.92025475331426,44.90820515628477,44.88226177918029,44.84706396413896,44.38594525978395,44.15416361080323,44.08171538862788,43.980003915964204,43.81531511595549,44.416087150160315,44.30635887006516,44.26743158246213,44.208075809581594,44.11674848931096
