I_3M,time,I_5M,I_10M,II_3M,II_5M,II_10M,III_3M,III_5M,III_10M
19.085983562441847,1.1574074074074074e-08,18.753210438017312,18.30166544452134,19.085983562441847,18.753210438017312,18.30166544452134,19.085983562441847,18.753210438017312,18.30166544452134
42.88759582808924,0.4204204319829088,42.554835005361525,42.103296917076854,42.39134154942462,42.05858153228432,41.60704389622717,42.39183735299931,42.05907687976513,41.60753898771722
43.463663467344595,0.8408408523917437,43.13094894061931,42.67943684020121,42.78921930980218,42.45650483406558,42.00499276204167,42.83501955896132,42.5023020703134,42.05078830712493
43.78209383528705,1.2612612728005783,43.44947045441893,42.9980095217496,43.007354991144574,42.67472291898193,42.223257105446734,43.08651523543722,42.753875083737604,42.30240473504141
43.99575591983386,1.681681693209413,43.663276810371656,43.21189687907004,43.15625941258807,42.82374905717579,42.37235157706717,43.26129629757171,42.92877040412066,42.477364202123795
44.15299388829972,2.1021021136182476,43.82071884737569,43.36945350991366,43.268564474159106,42.9362168548986,42.48491074713776,43.394544944009176,43.06217219008749,42.61085197404152
44.275310312524475,2.5225225340270825,43.94330468063355,43.492190661920176,43.35828403566027,43.02614147333339,42.57495051657607,43.50173440878531,43.16955527810346,42.718343796102474
44.374084247821855,2.9429429544359174,44.042418063073455,43.59149475298019,43.43270007126187,43.10080593249107,42.64975450383978,43.59104800903843,43.259104346472526,42.8080251227907
44.456026516179215,3.363363374844752,44.124773853874075,43.67408294441299,43.49607171427618,43.16447023292807,42.713583210342485,43.667338519784686,43.335673354446165,42.88475059317444
44.525402830726726,3.7837837952535867,44.19464127208552,43.7442264680439,43.55110103170767,43.21983717663328,42.76913986707351,43.733719197160745,43.402376605362385,42.95163511641105
44.58507888758296,4.204204215662421,44.254889082488965,43.8047958639239,43.599607399879176,43.2687267723561,42.818244857550866,43.79230579323922,43.46133078778835,43.010795927899
44.63706383928823,4.624624636071256,44.307529139408466,43.85780456533769,43.64287296505568,43.31242171644553,42.86218120844565,43.84460102335939,43.51403946163373,43.063737085662865
44.68281512797174,5.045045056480091,44.35402127405662,43.90471381617812,43.681834439098004,43.35185920193622,42.90188640784433,43.89171011431669,43.56160861921141,43.11156503949456
44.72341987165768,5.465465476888926,44.39545472352142,43.94661412384264,43.71719647583578,43.38774430633437,42.93806579871784,43.93446930896088,43.604875200739144,43.15511715174273
44.75970805633894,5.885885897297761,44.432661356443056,43.98433850472857,43.74950215535887,43.42062048302533,42.97126307438101,43.973526357935384,43.64448759345419,43.19504220131142
44.79232599629857,6.306306317706595,44.46628916103167,44.01853598720629,43.77917865548279,43.450915239286076,43.0019059604341,44.009393022906195,43.680958141445934,43.231852896697006
44.82178560742576,6.72672673811543,44.496851540570404,44.049720920092135,43.80656788947879,43.47897077838107,43.03033685914275,44.04248051128581,43.71469858492248,43.265961318519224
44.848498396986194,7.147147158524265,44.524761321964576,44.07830699233165,43.83194767351107,43.50506517160026,43.05683402403465,44.073124088970374,43.74604467767202,43.29770353890742
44.8727994893843,7.5675675789331,44.55035479673318,44.104631281589135,43.855546727576524,43.52942736094298,43.081626564375206,44.10160060971114,43.77527371911127,43.327357155918826
44.894964970005695,7.987987999341935,44.573909077988496,44.128971619976184,43.87755554212324,43.55224803025097,43.10490531737101,44.128141271605614,43.80261731406368,43.35515405473402
44.91522464339588,8.408408419750769,44.59565486975615,44.15155936908165,43.89813440660665,43.57368763414842,43.12683087880066,44.152941078262856,43.82827083658824,43.3812898727262
44.933771575017985,8.828828840159604,44.61578601794931,44.172588976336534,43.91741944122207,43.593882432012364,43.14753963763239,44.17616597717351,43.852400569612165,43.405931140761005
44.95076933402358,9.249249260568439,44.63446676112729,44.19222523075372,43.93552719946665,43.61294909305137,43.167148382426994,44.19795832447211,43.875149172029424,43.42922075097151
44.96635756488452,9.669669680977274,44.65183730934872,44.21060884593507,43.95255823030804,43.63098825847729,43.18575786373708,44.21844112685091,43.89663992243272,43.451282201311834
44.98065632673867,10.090090101386108,44.66801818905248,44.22786080774016,43.96859986670988,43.64808733124168,43.2034555851855,44.23772137496151,43.91698005273117,43.47222293051039
44.99376950931276,10.510510521794943,44.68311366442212,44.24408579959674,43.98372843514159,43.66432268769027,43.22031801482164,44.255892690503394,43.93626339774626,43.49213696764931
45.00578754907545,10.930930942203778,44.6972144578976,44.2593749257929,43.998011024410104,43.679761445880565,43.23641235458143,44.27303745122391,43.954572520189494,43.51110705837696
45.01678961115478,11.351351362612613,44.710399935962826,44.273807898656806,44.01150691389489,43.694462895219196,43.25179797031956,44.28922851064859,43.97198043219716,43.52920638647374
45.026845353917395,11.771771783021448,44.722739877080556,44.287454809534985,44.02426873804357,43.70847966088909,43.266527556324995,44.30453060457515,43.988552001450536,43.5464999811178
45.03601637028117,12.192192203430281,44.73429591586096,44.300377574494185,44.03634344198229,43.72185866125022,43.28064809316496,44.319001506897834,44.00434510901464,43.56304587442693
45.04435737101357,12.612612623839116,44.745122728961086,44.312631122400866,44.047773073340224,43.7346418988555,43.29420163913538,44.33269298939205,44.01941160868102,43.57889606181765
45.05191716593021,13.03303304424795,44.75526901833293,44.324264378801566,44.05859544113118,43.746867120482825,43.30722599036194,44.34565162170644,44.03379812847286,43.594097303454795
45.058739479208825,13.453453464656786,44.764778328458114,44.33532108492266,44.06884466842583,43.75856836944649,43.319755233944136,44.35791944423724,44.04754674294345,43.60869179718147
45.0648636338585,13.87387388506562,44.773689732338255,44.345840485214445,44.078551658590754,43.76977645303177,43.33182021424435,44.3695345362967,44.06069554273093,43.622717748221525
45.07032512762202,14.294294305474455,44.78203840875511,44.35585790512908,44.08774449001923,43.78051933718666,43.34344892950621,44.38053149828185,44.07327911662586,43.636209851524654
45.07515612080244,14.71471472588329,44.78985613124629,44.36540524177014,44.09644875412953,43.790822484171514,43.35466686836795,44.390941864118375,44.08532896434857,43.64919970489441
45.079385852537996,15.135135146292125,44.79717168514353,44.37451138079802,44.10468784314842,43.80070914140758,43.365497299413065,44.40079445417678,44.096873850283934,43.66171616279522
45.08304099498475,15.555555566700958,44.804011222704354,44.38320255302851,44.112483198970814,43.81020058963385,43.37596151979083,44.4101156801168,44.10794010788516,43.67378564107474
45.08614595897566,15.975975987109793,44.81039856933335,44.391502641505554,44.11985452792887,43.81931635846869,43.38607906985723,44.418929808805025,44.118551904075545,43.68543238171653
45.088723156580464,16.39639640751863,44.8163554870178,44.39943344500305,44.12681998671217,43.8280744124951,43.39586792044127,44.427259190655874,44.12873146826168,43.69667868162992
45.09079322787255,16.816816827927465,44.82190190220441,44.40701490720997,44.13339634511821,43.83649131363088,43.405344634960564,44.43512445985553,44.13849929202398,43.707545092888495
45.092375238514194,17.2372372483363,44.82705610483602,44.41426531553121,44.13959912816857,43.84458236344104,43.41452451154183,44.442544709094946,44.14787430442399,43.718050598034864
45.09348684882521,17.657657668745134,44.83183492066902,44.42120147416905,44.14544274013509,43.85236172758145,43.42342170796205,44.449537642796,44.15687402556877,43.72821276374485
45.09414446084837,18.07807808915397,44.83625386268463,44.42783885604384,44.15094057460752,43.859842545279655,43.43204935129957,44.45611971278341,44.16551470178443,43.73804787620181
45.09436334429266,18.498498509562804,44.8403272640573,44.43419173620625,44.156105111295496,43.86703702667572,43.440419634665325,44.46230623806045,44.173811425635805,43.74757106134389
45.094157743162,18.918918929971635,44.844068394894016,44.44027330855987,44.16094800153719,43.873956538452155,43.448543903377505,44.46811151025198,44.18177824211974,43.75679639088522
45.09354096545251,19.33933935038047,44.84748956525529,44.446095789696855,44.16548014456371,43.880611679776784,43.456432731313505,44.47354888823375,44.18942824251019,43.76573697651802
45.09252545851402,19.759759770789305,44.85060221702676,44.45167051057764,44.169711755914776,43.8870123504211,43.46409598839458,44.478630882163394,44.19677364870869,43.77440505427721
45.09112286928572,20.18018019119814,44.85341700489962,44.45700799775856,44.17365242731573,43.89316781135226,43.471542901505316,44.48336922837003,44.20382588836316,43.78281205973117
45.08934409400172,20.600600611606975,44.85594386834651,44.46211804572459,44.17731118125751,43.89908673881549,43.47878210880075,44.4877749564746,44.21059566201402,43.790968695206715
45.08719931866197,21.02102103201581,44.858192096333724,44.46700978186422,44.18069651975997,43.90477727290764,43.485821708315676,44.49185845015954,44.2170930033599,43.79888499016695
45.084698052383615,21.441441452424645,44.86017038497231,44.47169172411326,44.18381646813695,43.91024706162598,43.492669301642174,44.495629501518664,44.22332733376518,43.8065703558268
45.08184915616082,21.86186187283348,44.86188688904734,44.47617183255595,44.18667861432371,43.91550330030867,43.49933203348208,44.499097359630895,44.22930751150898,43.814033634324275
45.078660869848235,22.282282293242314,44.86334926833906,44.480457556139555,44.18929014452716,43.92055276688491,43.50581662760741,44.50227077517401,44.23504187550469,43.82128314263918
45.07514083989076,22.70270271365115,44.86456472971129,44.484555874571605,44.19165787589582,43.925401854344564,43.5121294186469,44.50515804057987,44.24053828567739,43.828326712973876
45.07129614769655,23.123123134059984,44.86554006489232,44.48847333602549,44.19378828560173,43.93005659997315,43.51827638149313,44.5077670263804,44.245804159314666,43.83517172915667
